Project ID,Project Name,Project Type,Design Phase Duration (weeks),Total Project Duration (weeks),Design Revision Count,Cost Efficiency (%),Innovation Score,Use of Sustainable Materials (%),Client Feedback Score,Design Complexity Level,Team Size,Design Software Used,Neighborhood,Use of Local Materials (%),Design-to-Total Duration Ratio,Sustainability Index,Innovation per Revision,Client Feedback Adjusted,Complexity to Team Ratio,Complexity and Duration Interaction,Neighborhood Impact
P001,Urban Villas,Office,8.0,27.0,2.0,81.0,4.7,53.0,4.9,Medium,9.0,Vectorworks,Green Park,75.0,0.3,64.0,2.35,1.63,0.33,81.0,4.55
P002,Modern Offices,Retail,6.0,33.0,7.0,75.0,4.7,50.0,4.9,Medium,10.0,Vectorworks,Saket,84.0,0.18,67.0,0.67,1.63,0.3,99.0,4.22
P003,Urban Tower,Hospitality,10.0,27.0,7.0,75.0,3.7,53.0,4.1,High,9.0,SketchUp,Rajouri Garden,66.0,0.37,59.5,0.53,1.02,0.44,108.0,4.4
P004,Eco Plaza,Office,8.0,40.0,6.0,94.0,4.3,50.0,3.5,Medium,11.0,Revit,Karol Bagh,72.0,0.2,61.0,0.72,1.17,0.27,120.0,4.17
P005,Urban Tower,Cultural,4.0,35.0,7.0,87.0,4.5,63.0,4.9,High,7.0,AutoCAD,Rajouri Garden,72.61,0.11,67.805,0.64,1.23,0.57,140.0,4.4
P006,Classic Plaza,Hospitality,10.0,32.0,3.0,83.0,4.8,70.0,4.1,Low,8.0,SketchUp,Saket,69.0,0.31,69.5,1.6,2.05,0.25,64.0,4.22
P007,Skyline Complex,Hospitality,7.0,37.0,1.0,77.0,4.0,65.0,4.9,Low,6.0,ArchiCAD,Nehru Place,85.0,0.19,75.0,4.0,2.45,0.33,74.0,4.62
P008,Classic Estates,Office,7.0,34.0,7.0,81.0,3.8,69.0,4.9,Low,12.0,SketchUp,Karol Bagh,66.0,0.21,67.5,0.54,2.45,0.17,68.0,4.17
P009,Classic Plaza,Commercial,4.0,40.0,7.0,83.51,4.6,64.88,4.8,Low,7.0,SketchUp,Rajouri Garden,73.0,0.1,68.94,0.66,2.4,0.29,80.0,4.4
P010,Green Homes,Cultural,7.0,32.0,4.29,82.0,4.7,57.0,4.35,High,8.55,Revit,Green Park,85.0,0.22,71.0,1.1,1.09,0.47,128.0,4.55
P011,Urban Offices,Office,7.0,28.57,2.0,83.0,4.0,56.0,4.1,Medium,10.0,ArchiCAD,Hauz Khas,64.0,0.25,60.0,2.0,1.37,0.3,85.71,4.45
P012,Skyline Homes,Cultural,5.0,34.0,4.0,79.0,3.6,52.0,4.8,Low,5.0,SketchUp,Lajpat Nagar,62.0,0.15,57.0,0.9,2.4,0.4,68.0,4.7
P013,Modern Plaza,Cultural,5.0,32.0,5.0,75.0,4.34,66.0,4.0,Medium,9.0,AutoCAD,Hauz Khas,82.0,0.16,74.0,0.87,1.33,0.33,96.0,4.45
P014,Classic Tower,Hospitality,4.0,20.0,3.0,93.0,4.34,50.0,3.8,High,10.0,AutoCAD,Saket,70.0,0.2,60.0,1.45,0.95,0.4,80.0,4.22
P015,Luxury Estates,Retail,5.0,26.0,4.29,84.0,4.3,64.88,4.3,High,8.0,Vectorworks,Connaught Place,72.61,0.19,68.745,1.0,1.08,0.5,104.0,4.3
P016,Luxury Estates,Cultural,8.0,28.0,7.0,86.0,4.8,61.0,4.9,High,9.0,ArchiCAD,Lajpat Nagar,77.0,0.29,69.0,0.69,1.23,0.44,112.0,4.7
P017,Eco Tower,Institutional,5.0,20.0,1.0,89.0,4.5,76.0,4.5,Low,11.0,ArchiCAD,Rohini,74.0,0.25,75.0,4.5,2.25,0.18,40.0,4.04
P018,Modern Villas,Hospitality,7.0,31.0,4.0,83.0,4.6,68.0,4.4,Medium,5.0,Vectorworks,Green Park,71.0,0.23,69.5,1.15,1.47,0.6,93.0,4.55
P019,Skyline Villas,Commercial,7.0,27.0,5.0,94.0,3.8,71.0,3.6,Medium,10.0,SketchUp,Rohini,68.0,0.26,69.5,0.76,1.2,0.3,81.0,4.04
P020,Classic Villas,Retail,10.0,30.0,4.0,91.0,4.3,72.0,4.4,Medium,10.0,ArchiCAD,Karol Bagh,69.0,0.33,70.5,1.08,1.47,0.3,90.0,4.17
P021,Classic Tower,Institutional,7.0,28.57,6.0,83.51,4.5,71.0,5.0,High,10.0,AutoCAD,Lajpat Nagar,85.0,0.25,78.0,0.75,1.25,0.4,114.28,4.7
P022,Urban Plaza,Institutional,10.0,36.0,5.0,94.0,3.8,63.0,3.7,Low,8.0,AutoCAD,Rohini,72.61,0.28,67.805,0.76,1.85,0.25,72.0,4.04
P023,Green Villas,Commercial,7.0,27.0,7.0,86.0,3.8,79.0,4.35,High,9.0,Revit,Rohini,76.0,0.26,77.5,0.54,1.09,0.44,108.0,4.04
P024,Eco Plaza,Retail,8.0,22.0,7.0,81.0,5.0,64.88,4.35,High,8.0,ArchiCAD,Rajouri Garden,65.0,0.36,64.94,0.71,1.09,0.5,88.0,4.4
P025,Classic Plaza,Hospitality,10.0,22.0,4.29,76.0,4.3,55.0,4.35,Medium,12.0,SketchUp,Hauz Khas,66.0,0.45,60.5,1.0,1.45,0.25,66.0,4.45
P026,Green Estates,Residential,6.0,20.0,7.0,77.0,3.9,62.0,4.35,High,6.0,Vectorworks,Rajouri Garden,73.0,0.3,67.5,0.56,1.09,0.67,80.0,4.4
